symbol,first,last,bars,missing_inside,missing_pct
ETHUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
BNBUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
EOSUSDT,2019-01-01 01:00:00,2025-05-26 03:00:00,56028,63,0.11231748408835641
XRPUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
ETCUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67136,64,0.09523809523809523
VETUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
QTUMUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67135,65,0.09672619047619048
ONTUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
BTCUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
BCHSVUSDT,2019-01-01 01:00:00,2019-04-22 10:00:00,2668,6,0.22438294689603588
NEOUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
ADAUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
BCHABCUSDT,2019-01-01 01:00:00,2019-11-28 02:00:00,7917,29,0.36496350364963503
ICXUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67131,69,0.10267857142857142
IOTAUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
TRXUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
LTCUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
NULSUSDT,2019-01-01 01:00:00,2025-04-16 03:00:00,55053,78,0.1414811993252435
XLMUSDT,2019-01-01 01:00:00,2026-09-01 00:00:00,67137,63,0.09375
LINKUSDT,2019-01-16 11:00:00,2026-09-01 00:00:00,66766,64,0.09576537483166243
WAVESUSDT,2019-01-18 11:00:00,2024-06-17 03:00:00,47377,64,0.1349044075799414
BTTUSDT,2019-01-31 11:00:00,2022-01-17 04:00:00,25901,61,0.23495878591788
ONGUSDT,2019-02-16 11:00:00,2026-09-01 00:00:00,65961,125,0.18914747450292044
HOTUSDT,2019-02-18 11:00:00,2026-09-01 00:00:00,65975,63,0.09539961840152639
ZILUSDT,2019-02-19 12:00:00,2026-09-01 00:00:00,65950,63,0.09543574750427945
ZRXUSDT,2019-02-28 05:00:00,2026-09-01 00:00:00,65734,70,0.1063765120661358
FETUSDT,2019-02-28 11:00:00,2026-09-01 00:00:00,65735,63,0.09574759111219186
BATUSDT,2019-03-04 11:00:00,2026-09-01 00:00:00,65639,63,0.09588749200937567
XMRUSDT,2019-03-15 05:00:00,2024-02-20 03:00:00,43213,58,0.1340389637401493
ZECUSDT,2019-03-21 05:00:00,2026-09-01 00:00:00,65243,57,0.08728943338437978
IOSTUSDT,2019-03-22 05:00:00,2026-09-01 00:00:00,65218,58,0.08885348366934248
CELRUSDT,2019-03-25 05:00:00,2026-09-01 00:00:00,65138,66,0.10122078400098154
DASHUSDT,2019-03-28 05:00:00,2026-09-01 00:00:00,65075,57,0.08751458576429405
NANOUSDT,2019-04-03 05:00:00,2022-01-24 04:00:00,24585,63,0.2555988315481986
OMGUSDT,2019-04-03 05:00:00,2024-06-17 03:00:00,45576,71,0.15554143755339891
THETAUSDT,2019-04-10 05:00:00,2026-09-01 00:00:00,64757,63,0.09719222462203024
ENJUSDT,2019-04-18 05:00:00,2026-09-01 00:00:00,64570,58,0.08974438323946277
MITHUSDT,2019-04-19 11:00:00,2022-12-22 09:00:00,32112,119,0.36920976699450836
MATICUSDT,2019-04-26 16:00:00,2024-09-10 03:00:00,47067,57,0.12095747389865036
ATOMUSDT,2019-04-29 05:00:00,2026-09-01 00:00:00,64307,57,0.08855882170157231
TFUELUSDT,2019-05-24 11:00:00,2026-09-01 00:00:00,63482,276,0.4328868534144735
ONEUSDT,2019-06-01 05:00:00,2026-09-01 00:00:00,63519,53,0.08337003712326181
FTMUSDT,2019-06-11 05:00:00,2025-01-13 03:00:00,48975,56,0.1142134567926414
ALGOUSDT,2019-06-22 01:00:00,2026-09-01 00:00:00,63026,46,0.07293252156265854
ERDUSDT,2019-07-04 09:00:00,2020-08-31 03:00:00,10145,26,0.25562874840232036
DOGEUSDT,2019-07-05 13:00:00,2026-09-01 00:00:00,62702,46,0.07330910945368777
DUSKUSDT,2019-07-22 11:00:00,2026-09-01 00:00:00,62253,89,0.1427608995540727
ANKRUSDT,2019-07-23 15:00:00,2026-09-01 00:00:00,62236,78,0.12517251339987803
WINUSDT,2019-08-01 11:00:00,2026-09-01 00:00:00,62056,46,0.07407168851244726
NPXSUSDT,2019-08-13 12:00:00,2021-04-05 05:00:00,14379,39,0.27049521431543905
MTLUSDT,2019-08-23 11:00:00,2026-09-01 00:00:00,61494,80,0.12992496833078895
TOMOUSDT,2019-08-24 14:00:00,2023-11-20 03:00:00,37120,46,0.12376903621589626
DOCKUSDT,2019-08-27 05:00:00,2024-07-22 03:00:00,42886,97,0.22567061396366006
DENTUSDT,2019-08-27 05:00:00,2026-04-28 03:00:00,58354,109,0.1864427073533688
CVCUSDT,2019-08-27 05:00:00,2026-09-01 00:00:00,57693,3791,6.165831761108581
CHZUSDT,2019-09-06 05:00:00,2026-09-01 00:00:00,61197,47,0.07674221148194109
BANDUSDT,2019-09-18 13:00:00,2026-09-01 00:00:00,60902,46,0.07547417470630702
XTZUSDT,2019-09-24 12:00:00,2026-09-01 00:00:00,60764,41,0.06742866540580544
RENUSDT,2019-09-25 13:00:00,2024-12-10 03:00:00,45621,42,0.0919781880296958
RVNUSDT,2019-09-25 13:00:00,2026-09-01 00:00:00,60741,39,0.06416584402764067
HBARUSDT,2019-09-29 05:00:00,2026-09-01 00:00:00,60653,39,0.06425888090687405
KAVAUSDT,2019-10-25 03:00:00,2026-09-01 00:00:00,60030,40,0.0665889795238888
STXUSDT,2019-10-25 05:00:00,2026-09-01 00:00:00,60007,61,0.10155157488180064
ARPAUSDT,2019-11-06 15:00:00,2026-09-01 00:00:00,59731,39,0.06525012548101054
IOTXUSDT,2019-11-14 04:00:00,2026-09-01 00:00:00,59399,190,0.3188507946097434
CTXCUSDT,2019-11-22 15:00:00,2025-04-16 03:00:00,47239,78,0.1648456157406429
BCHUSDT,2019-11-28 11:00:00,2026-09-01 00:00:00,59212,34,0.05738784052931843
FTTUSDT,2019-12-20 04:00:00,2026-09-01 00:00:00,51164,7561,12.87526607066837
OGNUSDT,2020-01-09 04:00:00,2026-09-01 00:00:00,58211,34,0.058374109365610785
WRXUSDT,2020-02-05 03:00:00,2024-12-25 03:00:00,42807,34,0.07936322681543381
BNTUSDT,2020-02-06 11:00:00,2026-09-01 00:00:00,57463,103,0.17892505993120938
MBLUSDT,2020-02-21 15:00:00,2026-09-01 00:00:00,57173,29,0.05069752805845949
DATAUSDT,2020-04-07 14:00:00,2026-02-13 03:00:00,51268,34,0.06627421932868113
CHRUSDT,2020-05-07 15:00:00,2026-09-01 00:00:00,55353,25,0.045144281122467406
GXSUSDT,2020-05-13 15:00:00,2022-04-25 04:00:00,17040,38,0.22250849045555685
