fold,test_start,n_test,ridge_alpha,seconds,lgbm_rounds
1,2022-01-01,5398,100.0,0.3,
2,2022-07-01,5520,100.0,0.3,
3,2023-01-01,5280,1.0,0.3,
4,2023-07-01,5520,1000.0,0.2,
5,2024-01-01,5460,1.0,0.2,
6,2024-07-01,5491,1000.0,0.3,
7,2025-01-01,5365,10.0,0.4,
8,2025-07-01,5520,1000.0,0.4,
9,2026-01-01,5430,1000.0,0.3,
10,2026-07-01,1799,1000.0,0.3,
1,2022-01-01,5398,,164.6,104.0
2,2022-07-01,5520,,331.0,63.0
3,2023-01-01,5280,,442.9,179.0
4,2023-07-01,5520,,336.2,58.0
5,2024-01-01,5460,,389.9,105.0
6,2024-07-01,5491,,427.4,46.0
7,2025-01-01,5365,,428.7,186.0
8,2025-07-01,5520,,492.5,87.0
9,2026-01-01,5430,,472.0,40.0
10,2026-07-01,1799,,632.1,96.0
