,ic_mean,ic_mean,ic_mean,ic_mean,ic_mean,sharpe_net,sharpe_net,sharpe_net,sharpe_net,sharpe_net
year,2022,2023,2024,2025,2026,2022,2023,2024,2025,2026
model,,,,,,,,,,
GRU,0.13988295742882795,0.106304331197254,0.11037202876269678,0.10620313699578322,0.09815175848323936,1.0953236861171738,0.30880165598079434,0.8269120553497685,1.055435590679141,1.1607686931710222
LightGBM,0.14985310059444942,0.11375205479430504,0.11342794638596977,0.11132976008812857,0.0958787393707688,2.2762598533981424,0.8328322279413163,1.0271518269506603,1.3910018344093134,-0.4505162448553363
LightGBM-shuffled,-0.033106778043726894,0.01068706155081758,0.009149303356794718,-0.009117240000761456,-0.03798321884076121,-2.6430209528500117,-4.481550755119771,-3.4038245609625677,-4.423800098513426,-1.6690564631885714
Momentum7d,-0.00021516526799234486,-0.033061761713444916,-0.03585031377005834,-0.021598101179371942,0.030609647651716268,-0.22754280511774108,-0.02668118814467352,-0.6798576880383036,-1.5683509100648796,0.9663341644258145
Random,-0.003926734267053183,-0.00966308729798879,0.0006274797190551536,-0.014662049593509027,-0.002494061465482865,-4.769655615950054,-3.4785156440878993,-3.0077500166364204,-5.551940668632296,-4.580303573539522
Reversal24h,0.0262514596298016,0.03830478061820213,0.024296980982658846,0.019297708479974553,0.008935272369281065,-2.0045448041291505,-2.659754659602488,-2.484228196326716,-3.709119570272416,-3.759796276341953
Ridge,0.14032486436907352,0.11328243578820989,0.09917780233183617,0.1013071568052686,0.09301539448951138,0.6272612261317884,0.3043712582215289,-1.065315333985228,0.14901003912937044,-0.24139355266183501
Transformer,0.14335465741815945,0.11815581355698694,0.10709702657707386,0.10019839434690686,0.09589268659449501,1.8222582745897522,0.9471311606273844,0.9792930092005526,0.8984480718613064,1.1972392494999875
