model,ic_mean,ic_std,icir,ic_tstat_nw,ic_hit_rate,n_days,ic_day1,ic_day2,ic_day3,ic_day4,sharpe_gross,sharpe_net,ann_return_net,max_dd_net,turnover,psr,deflated_sharpe,beta_to_market,alpha_bps_per_day,alpha_tstat
LightGBM,0.11837442118968301,0.3087814043346813,0.3833599417838634,17.067792176125003,0.6395759717314488,1698.0,0.09163078303187168,0.09090921169058343,0.08129461126838214,0.08077757937134716,2.3551170342661636,1.1184117182535451,0.6868333981947965,-0.4785651871678632,1.514487632508834,0.9912648551177091,0.0284620918448272,-0.42432482522504833,40.488096178807695,5.639352810501241
Transformer,0.11415577070544249,0.3152836589384658,0.362073223489589,16.512018388414635,0.6366313309776207,1698.0,0.09458295333673031,0.09471959262287317,0.08394925766685944,0.08583197352550664,2.324261006710234,1.125157997769624,0.6892564844522535,-0.5671238732229448,1.4494307027875932,0.9918685960388803,0.028781188849822125,-0.430735709309433,39.31181819721564,5.519756683899801
GRU,0.11321547218850735,0.3162037948903511,0.3580458995685573,16.204965039742422,0.6448763250883393,1698.0,0.09850271018418111,0.09218539473920323,0.08226369409145531,0.08726499338572241,2.055822987297727,0.8516868854161315,0.40905702527543575,-0.6307668704519382,1.4555555555555555,0.965716455957447,0.006454755490326308,-0.4487881854676024,34.33018628822649,5.063441283017409
Ridge,0.11059255932408965,0.32815561590563846,0.3370125451575105,15.447591986976823,0.6313309776207303,1698.0,0.09579477454083411,0.09415397398974044,0.08659037618624348,0.08743559564624064,1.1024670409440462,-0.057708560517374455,-0.2530393930788182,-0.89331121496832,1.4900274833137024,0.45045281404653775,3.895194229164011e-06,-0.552280558345316,17.572744051395194,2.5261718971084917
LightGBM (smoothed),0.10866402058832934,0.32675059750756263,0.3325595160872332,15.51188532003749,0.633097762073027,1698.0,0.10103725091374656,0.09751291324316,0.09625517351125518,0.09359083199862513,1.8038358212830579,1.4480726433444615,1.1244347021585122,-0.5745625459826791,0.4415390655673341,0.9989488779157706,0.11455619188093041,-0.5130810095728234,30.32697386137823,4.341465670406187
GRU (smoothed),0.1080748579361877,0.3324213137904257,0.32511410506103483,15.350779734259575,0.6431095406360424,1698.0,0.10333466431827311,0.09869452357979419,0.09708534503718357,0.09657758149577396,1.7826687067307432,1.4546959285352363,1.1418598481836244,-0.6368874782283646,0.4112681586179819,0.9990363571785903,0.1164143238899637,-0.5374201649899315,29.994927521028387,4.480365785190886
Transformer (smoothed),0.10717078511981065,0.33152423870365627,0.32326681614254077,15.173012981904634,0.633097762073027,1698.0,0.10167364986648723,0.09882175811230247,0.0959913675402333,0.09489249562026361,1.675190335088929,1.351113507259079,0.9863963307473504,-0.5902102716439328,0.40192383195916764,0.9979809338279797,0.07906871475139648,-0.518352056379586,27.817635197607146,4.0623838777737244
Transformer-Q (q50/width),0.10606450451063608,0.3032788866494822,0.3497259755942762,15.642847798020231,0.6295641931684335,1698.0,0.08608681676120009,0.08567857440749696,0.0765152793802207,0.07817370382792616,2.3089673036292866,0.830311578484561,0.3782740836230851,-0.5468920601724847,1.6835885355319986,0.9615021391198646,0.005838606834534223,-0.3862034040958107,36.8834097763808,5.420726981022917
LightGBM-Q (q50/width),0.10361354050591967,0.2898873410286015,0.35742692363961054,15.273019228432712,0.6307420494699647,1698.0,0.07748070478597374,0.08116365056330511,0.06462811976714175,0.07162960622885754,2.7421729421843537,0.86277550223436,0.3905681107539274,-0.44819810122161696,1.9775422065174717,0.9673801523001672,0.006932805167886368,-0.33022830525290564,41.087531747740655,6.023600917353492
GRU-Q (q50/width),0.10146903108081272,0.3025532764843075,0.3353757469094062,14.452600817540086,0.6378091872791519,1698.0,0.08096197596229945,0.08391165509636173,0.07350206718650044,0.07630373927047766,2.041705644215118,0.523644346522293,0.13886280367476656,-0.7523470935452389,1.707616804083235,0.8685292113965517,0.000719079546784023,-0.37030656141051504,31.988545810650578,4.442796683709849
Reversal24h,0.024422967217691532,0.25687590793465154,0.09507690859006,4.037437263754426,0.541813898704358,1698.0,0.007460043283331224,0.004198944394559272,-0.00541072990613368,0.003040433333807175,-0.027229710273742366,-2.8538792661528074,-0.847306864952974,-0.9998489848156508,3.0675696898311737,2.7007645807956084e-10,1.6932513355370057e-26,0.09970576490222892,0.21886893040338748,0.03043899532927535
Random,-0.006264736651268455,0.18546592959901162,-0.03377836923910062,-1.348103479396108,0.49469964664310956,1698.0,0.00953245440805797,-0.0007317673372075371,-0.0032147434811757598,-0.0007693532278364855,-0.05520147867808068,-4.227478107992891,-0.847913958733191,-0.9998613063736546,3.2241460541813893,8.957221284736217e-19,1.2000067595031654e-38,0.013774639725140248,-0.5476868543054771,-0.10717446091571821
LightGBM-shuffled,-0.010251895382109107,0.2136157311375236,-0.04799223038264463,-1.9917290148343352,0.47703180212014135,1698.0,-0.0032532527807396794,-0.007753002384657924,-0.006074161416528022,-0.011305401359109641,-0.6470914018029995,-3.414012608781376,-0.8418443427285782,-0.999829956253074,2.536042402826855,1.5794019502005252e-13,2.392145042399376e-31,0.038863039218331674,-8.617600491127858,-1.3563198324983958
Momentum7d,-0.015063460882364044,0.27219111060735435,-0.055341487268824284,-2.3547622690511503,0.46819787985865724,1698.0,-0.0029428559147595193,0.001735439797225313,0.005154620868317467,0.0063599577953794735,0.5965422132654745,-0.4356707125274639,-0.3913747675835405,-0.9501786513883441,1.23270514330585,0.1759271621422383,8.225866553196079e-08,-0.1280451030227701,9.835798434344898,1.2013266925174233
