month,rank,symbol
2019-04-01,1,BTCUSDT
2019-04-01,2,BNBUSDT
2019-04-01,3,ETHUSDT
2019-04-01,4,EOSUSDT
2019-04-01,5,LTCUSDT
2019-04-01,6,XRPUSDT
2019-04-01,7,BCHABCUSDT
2019-04-01,8,ADAUSDT
2019-04-01,9,BTTUSDT
2019-04-01,10,TRXUSDT
2019-04-01,11,XLMUSDT
2019-04-01,12,ONTUSDT
2019-04-01,13,NEOUSDT
2019-04-01,14,ICXUSDT
2019-04-01,15,VETUSDT
2019-04-01,16,BCHSVUSDT
2019-04-01,17,ETCUSDT
2019-04-01,18,QTUMUSDT
2019-04-01,19,IOTAUSDT
2019-04-01,20,NULSUSDT
2019-04-01,21,LINKUSDT
2019-04-01,22,WAVESUSDT
2019-05-01,1,BTCUSDT
2019-05-01,2,ETHUSDT
2019-05-01,3,BNBUSDT
2019-05-01,4,BCHABCUSDT
2019-05-01,5,EOSUSDT
2019-05-01,6,BTTUSDT
2019-05-01,7,LTCUSDT
2019-05-01,8,XRPUSDT
2019-05-01,9,ADAUSDT
2019-05-01,10,TRXUSDT
2019-05-01,11,FETUSDT
2019-05-01,12,NEOUSDT
2019-05-01,13,ONTUSDT
2019-05-01,14,ETCUSDT
2019-05-01,15,XLMUSDT
2019-05-01,16,ICXUSDT
2019-05-01,17,BATUSDT
2019-05-01,18,IOTAUSDT
2019-05-01,19,VETUSDT
2019-05-01,20,QTUMUSDT
2019-05-01,21,ZILUSDT
2019-05-01,22,HOTUSDT
2019-05-01,23,WAVESUSDT
2019-05-01,24,NULSUSDT
2019-05-01,25,LINKUSDT
2019-05-01,26,ZRXUSDT
2019-05-01,27,ONGUSDT
2019-06-01,1,BTCUSDT
2019-06-01,2,ETHUSDT
2019-06-01,3,BNBUSDT
2019-06-01,4,BCHABCUSDT
2019-06-01,5,XRPUSDT
2019-06-01,6,EOSUSDT
2019-06-01,7,LTCUSDT
2019-06-01,8,BTTUSDT
2019-06-01,9,TRXUSDT
2019-06-01,10,ADAUSDT
2019-06-01,11,FETUSDT
2019-06-01,12,NEOUSDT
2019-06-01,13,CELRUSDT
2019-06-01,14,XLMUSDT
2019-06-01,15,ONTUSDT
2019-06-01,16,IOTAUSDT
2019-06-01,17,ETCUSDT
2019-06-01,18,LINKUSDT
2019-06-01,19,HOTUSDT
2019-06-01,20,VETUSDT
2019-06-01,21,ICXUSDT
2019-06-01,22,BATUSDT
2019-06-01,23,ZILUSDT
2019-06-01,24,WAVESUSDT
2019-06-01,25,IOSTUSDT
2019-06-01,26,QTUMUSDT
2019-06-01,27,ZECUSDT
2019-06-01,28,NANOUSDT
2019-06-01,29,DASHUSDT
2019-06-01,30,XMRUSDT
2019-07-01,1,BTCUSDT
2019-07-01,2,ETHUSDT
2019-07-01,3,BNBUSDT
2019-07-01,4,XRPUSDT
2019-07-01,5,LTCUSDT
2019-07-01,6,EOSUSDT
2019-07-01,7,BCHABCUSDT
2019-07-01,8,TRXUSDT
2019-07-01,9,LINKUSDT
2019-07-01,10,MATICUSDT
2019-07-01,11,ADAUSDT
2019-07-01,12,FETUSDT
2019-07-01,13,BTTUSDT
2019-07-01,14,NEOUSDT
2019-07-01,15,ETCUSDT
2019-07-01,16,ATOMUSDT
2019-07-01,17,VETUSDT
2019-07-01,18,ONTUSDT
2019-07-01,19,CELRUSDT
2019-07-01,20,XLMUSDT
2019-07-01,21,ZILUSDT
2019-07-01,22,QTUMUSDT
2019-07-01,23,IOTAUSDT
2019-07-01,24,ICXUSDT
2019-07-01,25,ZECUSDT
2019-07-01,26,HOTUSDT
2019-07-01,27,MITHUSDT
2019-07-01,28,BATUSDT
2019-07-01,29,XMRUSDT
2019-07-01,30,IOSTUSDT
2019-08-01,1,BTCUSDT
2019-08-01,2,ETHUSDT
2019-08-01,3,BNBUSDT
2019-08-01,4,EOSUSDT
2019-08-01,5,LTCUSDT
2019-08-01,6,XRPUSDT
2019-08-01,7,BCHABCUSDT
2019-08-01,8,LINKUSDT
2019-08-01,9,TRXUSDT
2019-08-01,10,NEOUSDT
2019-08-01,11,ADAUSDT
2019-08-01,12,BTTUSDT
2019-08-01,13,ETCUSDT
2019-08-01,14,MATICUSDT
2019-08-01,15,ONEUSDT
2019-08-01,16,XLMUSDT
2019-08-01,17,ONTUSDT
2019-08-01,18,QTUMUSDT
2019-08-01,19,FETUSDT
2019-08-01,20,VETUSDT
2019-08-01,21,ICXUSDT
2019-08-01,22,WAVESUSDT
2019-08-01,23,CELRUSDT
2019-08-01,24,ATOMUSDT
2019-08-01,25,IOTAUSDT
2019-08-01,26,ZECUSDT
2019-08-01,27,HOTUSDT
2019-08-01,28,XMRUSDT
2019-08-01,29,BATUSDT
2019-08-01,30,ZILUSDT
2019-09-01,1,BTCUSDT
2019-09-01,2,ETHUSDT
2019-09-01,3,BNBUSDT
2019-09-01,4,LTCUSDT
2019-09-01,5,XRPUSDT
2019-09-01,6,BCHABCUSDT
2019-09-01,7,EOSUSDT
2019-09-01,8,LINKUSDT
2019-09-01,9,TRXUSDT
2019-09-01,10,MATICUSDT
2019-09-01,11,ALGOUSDT
2019-09-01,12,ETCUSDT
2019-09-01,13,ADAUSDT
2019-09-01,14,BTTUSDT
2019-09-01,15,NEOUSDT
2019-09-01,16,ONEUSDT
2019-09-01,17,ERDUSDT
2019-09-01,18,ONTUSDT
2019-09-01,19,CELRUSDT
2019-09-01,20,ICXUSDT
2019-09-01,21,FETUSDT
2019-09-01,22,ATOMUSDT
2019-09-01,23,XLMUSDT
2019-09-01,24,VETUSDT
2019-09-01,25,QTUMUSDT
2019-09-01,26,FTMUSDT
2019-09-01,27,HOTUSDT
2019-09-01,28,BATUSDT
2019-09-01,29,ZECUSDT
2019-09-01,30,IOTAUSDT
2019-10-01,1,BTCUSDT
2019-10-01,2,ETHUSDT
2019-10-01,3,BNBUSDT
2019-10-01,4,XRPUSDT
2019-10-01,5,EOSUSDT
2019-10-01,6,LTCUSDT
2019-10-01,7,TRXUSDT
2019-10-01,8,BCHABCUSDT
2019-10-01,9,BTTUSDT
2019-10-01,10,LINKUSDT
2019-10-01,11,ETCUSDT
2019-10-01,12,ADAUSDT
2019-10-01,13,XLMUSDT
2019-10-01,14,WINUSDT
2019-10-01,15,ONTUSDT
2019-10-01,16,ATOMUSDT
2019-10-01,17,ALGOUSDT
2019-10-01,18,NEOUSDT
2019-10-01,19,MATICUSDT
2019-10-01,20,FETUSDT
2019-10-01,21,XMRUSDT
2019-10-01,22,DASHUSDT
2019-10-01,23,ZECUSDT
2019-10-01,24,QTUMUSDT
2019-10-01,25,IOTAUSDT
2019-10-01,26,ICXUSDT
2019-10-01,27,DUSKUSDT
2019-10-01,28,VETUSDT
2019-10-01,29,ZRXUSDT
2019-10-01,30,BATUSDT
2019-11-01,1,BTCUSDT
2019-11-01,2,ETHUSDT
2019-11-01,3,XRPUSDT
2019-11-01,4,BNBUSDT
2019-11-01,5,BCHABCUSDT
2019-11-01,6,EOSUSDT
2019-11-01,7,LINKUSDT
2019-11-01,8,TRXUSDT
2019-11-01,9,LTCUSDT
2019-11-01,10,ONTUSDT
2019-11-01,11,ADAUSDT
2019-11-01,12,NEOUSDT
2019-11-01,13,ETCUSDT
2019-11-01,14,BTTUSDT
2019-11-01,15,XLMUSDT
2019-11-01,16,MATICUSDT
2019-11-01,17,DOCKUSDT
2019-11-01,18,ATOMUSDT
2019-11-01,19,IOSTUSDT
2019-11-01,20,XMRUSDT
2019-11-01,21,BATUSDT
2019-11-01,22,FETUSDT
2019-11-01,23,ALGOUSDT
2019-11-01,24,WINUSDT
2019-11-01,25,ZRXUSDT
2019-11-01,26,ZECUSDT
2019-11-01,27,QTUMUSDT
2019-11-01,28,NPXSUSDT
2019-11-01,29,VETUSDT
2019-11-01,30,DASHUSDT
2019-12-01,1,BTCUSDT
2019-12-01,2,ETHUSDT
2019-12-01,3,BNBUSDT
2019-12-01,4,XRPUSDT
2019-12-01,5,EOSUSDT
2019-12-01,6,LTCUSDT
2019-12-01,7,VETUSDT
2019-12-01,8,TRXUSDT
2019-12-01,9,LINKUSDT
2019-12-01,10,XLMUSDT
2019-12-01,11,ADAUSDT
2019-12-01,12,NEOUSDT
2019-12-01,13,QTUMUSDT
2019-12-01,14,MATICUSDT
2019-12-01,15,IOSTUSDT
2019-12-01,16,ONTUSDT
2019-12-01,17,FETUSDT
2019-12-01,18,ETCUSDT
2019-12-01,19,ATOMUSDT
2019-12-01,20,BTTUSDT
2019-12-01,21,TOMOUSDT
2019-12-01,22,XMRUSDT
2019-12-01,23,ALGOUSDT
2019-12-01,24,XTZUSDT
2019-12-01,25,BATUSDT
2019-12-01,26,ZECUSDT
2019-12-01,27,DASHUSDT
2019-12-01,28,WINUSDT
2019-12-01,29,ERDUSDT
2019-12-01,30,CHZUSDT
2020-01-01,1,BTCUSDT
2020-01-01,2,ETHUSDT
2020-01-01,3,MATICUSDT
2020-01-01,4,BNBUSDT
2020-01-01,5,TRXUSDT
2020-01-01,6,XRPUSDT
2020-01-01,7,EOSUSDT
2020-01-01,8,LTCUSDT
2020-01-01,9,VETUSDT
2020-01-01,10,LINKUSDT
2020-01-01,11,ATOMUSDT
2020-01-01,12,BTTUSDT
2020-01-01,13,XTZUSDT
2020-01-01,14,ETCUSDT
2020-01-01,15,FETUSDT
2020-01-01,16,WINUSDT
2020-01-01,17,ADAUSDT
2020-01-01,18,TOMOUSDT
2020-01-01,19,IOSTUSDT
